Carimbo de data/hora,Avalie os estilos musicais [rock],Avalie os estilos musicais [hip hop],Avalie os estilos musicais [mpb],Avalie os estilos musicais [reggae],Avalie os estilos musicais [funk],Avalie os estilos musicais [sertanejo],Avalie os estilos musicais [gospel],Avalie os estilos musicais [eletrônica],Qual professor,Qual sua faixa etária
21/08/2024 10:03:25,3,1,1,1,1,1,1,3,,
21/08/2024 10:04:39,5,3,5,2,1,3,1,5,,
21/08/2024 10:04:52,1,5,1,1,1,1,1,5,,
21/08/2024 10:04:53,1,5,4,4,4,1,1,5,,
21/08/2024 10:04:55,5,4,3,4,1,1,2,5,,
21/08/2024 10:05:26,5,2,2,2,1,1,2,4,,
21/08/2024 10:05:41,2,4,4,1,4,4,1,3,,
21/08/2024 10:06:14,5,3,3,3,1,2,3,4,,
21/08/2024 10:07:16,4,4,4,1,4,4,1,4,,
21/08/2024 10:07:26,5,5,1,3,4,1,1,3,,
21/08/2024 10:07:31,3,2,5,4,3,4,4,2,,
21/08/2024 10:08:37,4,1,5,1,1,2,5,1,,
21/08/2024 10:38:46,5,1,3,1,1,1,1,4,,
21/08/2024 10:58:52,5,5,1,1,1,1,1,4,,
21/08/2024 14:58:43,5,4,4,3,3,3,2,5,,
21/08/2024 14:59:12,4,5,3,4,1,2,4,5,,
21/08/2024 14:59:39,5,4,1,2,4,1,1,4,,
21/08/2024 14:59:58,1,2,3,1,2,3,4,4,,
21/08/2024 15:00:08,4,2,4,3,1,2,3,3,,
21/08/2024 15:00:16,1,5,4,4,5,3,3,5,,
21/08/2024 15:00:27,3,5,1,1,1,1,1,1,,
21/08/2024 15:00:38,4,1,4,1,1,3,5,1,,
21/08/2024 15:01:03,4,1,4,1,1,2,1,1,,
21/08/2024 15:01:09,3,3,4,3,2,3,2,3,,
21/08/2024 15:01:36,3,3,4,3,1,1,5,5,,
21/08/2024 15:01:55,5,4,5,1,1,3,2,1,,
21/08/2024 15:02:10,3,3,4,3,1,1,5,5,,
21/08/2024 15:02:13,5,5,4,5,2,2,4,5,,
21/08/2024 15:02:16,5,4,5,2,1,3,4,4,,
21/08/2024 15:02:18,2,1,3,1,2,5,3,1,,
21/08/2024 15:03:08,5,5,5,5,5,5,5,5,,
21/08/2024 15:03:40,5,5,5,5,5,5,5,5,,
21/08/2024 15:05:02,4,1,4,1,1,3,5,1,,
21/08/2024 15:05:13,3,1,4,2,1,4,4,1,,
21/08/2024 15:06:35,5,5,2,5,1,3,4,1,,
21/08/2024 15:06:40,3,1,5,1,2,5,1,2,,
21/08/2024 15:09:30,1,4,3,2,1,3,2,2,,
21/08/2024 20:00:02,4,1,4,3,1,2,3,3,,
22/08/2024 09:40:47,3,1,1,1,3,1,1,3,Karython,15 - 18
22/08/2024 09:40:54,1,1,5,1,5,5,1,5,Karython,15 - 18
22/08/2024 09:41:06,3,4,3,2,2,1,2,4,Karython,15 - 18
22/08/2024 09:41:10,4,3,4,2,1,2,3,2,Karython,15 - 18
22/08/2024 09:41:11,5,5,5,5,1,5,5,5,Karython,15 - 18
22/08/2024 09:41:14,3,5,1,5,5,3,1,5,Karython,15 - 18
22/08/2024 09:41:21,1,3,4,1,5,5,3,4,Karython,15 - 18
22/08/2024 09:41:23,4,4,4,4,4,2,3,2,Karython,15 - 18
22/08/2024 09:41:24,5,5,3,5,3,1,3,4,Karython,15 - 18
22/08/2024 09:41:26,5,5,5,5,3,2,1,4,Karython,15 - 18
22/08/2024 09:41:31,1,1,1,1,5,5,5,1,Karython,15 - 18
22/08/2024 09:41:32,1,5,4,3,4,2,3,1,Karython,15 - 18
22/08/2024 09:41:37,1,1,2,1,1,1,1,4,Karython,15 - 18
22/08/2024 09:41:39,1,3,3,4,5,5,1,4,Karython,15 - 18
22/08/2024 09:41:43,2,4,4,4,3,3,2,1,Karython,15 - 18
22/08/2024 09:41:46,2,5,3,3,5,5,4,5,Karython,15 - 18
22/08/2024 09:41:56,5,3,5,5,4,3,2,4,Karython,15 - 18
22/08/2024 09:41:58,4,3,3,2,1,1,1,4,Karython,15 - 18
22/08/2024 09:41:58,5,3,4,2,2,4,4,3,Karython,15 - 18
22/08/2024 09:42:17,5,4,4,3,3,1,4,5,Karython,15 - 18
22/08/2024 09:42:26,3,3,4,3,3,4,4,5,Karython,15 - 18
22/08/2024 09:42:42,1,4,1,3,5,5,1,4,Karython,15 - 18
22/08/2024 09:42:42,5,5,4,3,1,2,5,4,Karython,15 - 18
22/08/2024 09:42:48,1,1,1,1,4,5,1,4,Karython,15 - 18
22/08/2024 09:43:04,4,5,5,5,5,5,5,5,Karython,140 - 200
22/08/2024 09:43:16,5,5,5,5,1,1,1,5,Karython,140 - 200
22/08/2024 09:43:46,3,3,3,3,2,3,3,3,Karython,15 - 18
22/08/2024 09:44:26,1,4,1,2,4,4,2,2,Karython,15 - 18
22/08/2024 09:57:42,1,2,3,3,3,5,2,1,Luciano,18 - 25
22/08/2024 09:58:20,1,5,5,5,5,3,1,4,Luciano,18 - 25
22/08/2024 09:58:49,4,2,4,3,2,4,4,4,Luciano,50 - 80
22/08/2024 09:59:53,3,2,2,4,3,3,2,2,Luciano,18 - 25
22/08/2024 10:00:24,5,2,1,3,1,1,3,1,Luciano,15 - 18
22/08/2024 10:00:25,1,1,1,1,1,4,4,1,Luciano,25 - 39
22/08/2024 10:00:35,2,1,3,1,1,4,4,1,Luciano,40 - 50
22/08/2024 10:01:00,2,1,4,4,1,2,2,1,Luciano,50 - 80
22/08/2024 10:01:35,3,4,3,1,2,4,5,4,Luciano,18 - 25
22/08/2024 10:01:41,1,1,5,2,1,5,2,1,Luciano,40 - 50
22/08/2024 10:02:12,5,3,4,2,2,3,1,1,Luciano,25 - 39
22/08/2024 10:29:30,2,4,3,1,4,4,4,2,Victor,18 - 25
22/08/2024 10:29:31,2,5,2,2,3,5,5,5,Victor,18 - 25
22/08/2024 10:29:37,4,3,3,3,2,4,3,4,Victor,18 - 25
22/08/2024 10:29:52,1,1,4,3,3,3,3,1,Victor,25 - 39
22/08/2024 10:29:56,4,4,1,2,2,1,1,4,Victor,25 - 39
22/08/2024 10:30:00,5,5,4,3,4,4,2,5,Victor,18 - 25
22/08/2024 10:30:02,5,3,5,5,2,2,1,1,Victor,50 - 80
22/08/2024 10:30:07,4,2,1,3,4,1,2,4,Victor,18 - 25
22/08/2024 10:30:28,4,2,3,3,1,2,2,1,Victor,25 - 39
22/08/2024 10:31:03,4,1,3,1,1,2,2,2,Victor,40 - 50
22/08/2024 10:31:04,1,1,1,1,1,4,5,1,Victor,18 - 25
22/08/2024 10:31:08,4,4,2,2,3,3,1,4,Victor,18 - 25
22/08/2024 10:31:20,3,3,1,1,4,5,3,5,Victor,18 - 25
22/08/2024 10:31:40,3,4,2,2,3,4,1,4,Victor,40 - 50
22/08/2024 10:31:45,1,1,1,1,1,1,1,1,Victor,25 - 39
22/08/2024 10:38:10,1,1,5,1,1,1,5,1,Victor,25 - 39
22/08/2024 10:39:06,5,2,4,2,1,4,1,5,Victor,25 - 39
22/08/2024 10:40:15,5,5,5,5,5,5,5,5,Luciano,50 - 80